epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,997.81,0.98887,2.99218,1.05337,0.0116,1,0.30784,0.22548,0.86545,3.61236,0.90221,0.000251673,0.000251673,0.000251673
2,2013.52,0.96766,1.84701,1.0656,0.61031,0.52162,0.37978,0.28238,0.91042,2.60992,0.93037,0.000497948,0.000497948,0.000497948
3,3269.05,0.99394,1.69,1.07453,0.68846,0.4183,0.34137,0.25033,0.92926,2.51841,0.94565,0.000734072,0.000734072,0.000734072
4,4880.25,0.99843,1.52405,1.06803,0.82976,0.40264,0.41278,0.31108,0.9457,2.57845,0.96703,0.000723321,0.000723321,0.000723321
5,6391.79,0.99276,1.44108,1.08804,0.61802,0.49414,0.4423,0.33055,0.96846,2.07445,0.97008,0.000708095,0.000708095,0.000708095
6,7180.32,0.9769,1.31074,1.06377,0.69246,0.5085,0.44431,0.33637,0.92972,2.21358,0.95791,0.000692869,0.000692869,0.000692869
7,8383.38,0.95325,1.22486,1.05789,0.71213,0.53642,0.55156,0.42707,0.89321,2.05602,0.93727,0.000677643,0.000677643,0.000677643
8,9699.34,0.96568,1.24972,1.07766,0.56152,0.62736,0.49526,0.38154,0.88511,1.98991,0.92612,0.000662417,0.000662417,0.000662417
9,10726.5,0.94889,1.13127,1.05205,0.64194,0.53019,0.54201,0.42539,0.88082,2.14231,0.93164,0.00064719,0.00064719,0.00064719
10,11622.6,0.93095,1.07901,1.04284,0.61544,0.55574,0.54091,0.4219,0.8678,2.03307,0.93831,0.000631964,0.000631964,0.000631964
11,12484.8,0.94022,1.07256,1.05343,0.54097,0.59341,0.60583,0.47118,0.87055,1.8414,0.92278,0.000616738,0.000616738,0.000616738
12,13287.1,0.93916,1.01646,1.06513,0.85008,0.53279,0.59264,0.46526,0.86516,1.64425,0.91885,0.000601512,0.000601512,0.000601512
13,14243.8,0.94144,0.96356,1.05384,0.67411,0.54321,0.62159,0.49459,0.87684,1.79562,0.92942,0.000586286,0.000586286,0.000586286
14,15419.1,0.91782,0.94941,1.0449,0.83831,0.5767,0.64492,0.51042,0.86795,1.62412,0.92775,0.000571059,0.000571059,0.000571059
15,16246.5,0.90777,0.92242,1.04061,0.55981,0.51502,0.53246,0.42648,0.89238,2.22566,0.9393,0.000555833,0.000555833,0.000555833
16,16990.4,0.93954,0.93742,1.06992,0.7436,0.53588,0.60202,0.47234,0.89598,1.81594,0.93175,0.000540607,0.000540607,0.000540607
17,17727.8,0.89554,0.88277,1.0327,0.64671,0.61996,0.62987,0.49814,0.88509,1.96052,0.92769,0.000525381,0.000525381,0.000525381
18,18466.9,0.90978,0.88201,1.05192,0.82668,0.60933,0.68617,0.55056,0.85276,1.54495,0.91855,0.000510155,0.000510155,0.000510155
19,19197.1,0.8979,0.81885,1.04152,0.6254,0.6216,0.6183,0.4989,0.83353,2.1347,0.92115,0.000494928,0.000494928,0.000494928
20,19936.1,0.91294,0.84573,1.03728,0.61376,0.58554,0.62079,0.49535,0.85168,1.5978,0.92185,0.000479702,0.000479702,0.000479702
21,20683.5,0.90359,0.81588,1.04303,0.74804,0.44413,0.63425,0.51265,0.83671,1.84708,0.92402,0.000464476,0.000464476,0.000464476
22,21427.7,0.90504,0.7656,1.03578,0.63594,0.58559,0.65954,0.52447,0.86563,1.68315,0.92245,0.00044925,0.00044925,0.00044925
23,22173.2,0.91038,0.7609,1.04516,0.75391,0.53729,0.6776,0.54433,0.84608,1.72815,0.9224,0.000434024,0.000434024,0.000434024
24,22907.8,0.90194,0.78311,1.0592,0.6443,0.49281,0.6144,0.48909,0.89103,1.72714,0.93937,0.000418797,0.000418797,0.000418797
