epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.05,1.48096,2.82256,1.33605,0.56479,0.25038,0.46241,0.21645,1.36274,2.97254,1.31364,0.000361516,0.000361516,0.000361516
2,810.789,1.06836,1.28509,1.1636,0.79153,0.87526,0.88,0.58087,1.19013,1.21581,1.30907,0.000717359,0.000717359,0.000717359
3,1194.43,0.96357,0.92524,1.07673,0.80552,0.90458,0.92893,0.53122,1.47015,1.14741,1.42567,0.00105854,0.00105854,0.00105854
4,1579.36,0.90828,0.80242,1.05364,0.85338,0.92985,0.95563,0.81616,0.63476,0.81708,0.94158,0.00104501,0.00104501,0.00104501
5,1973.95,0.84946,0.74036,1.0176,0.83975,0.91313,0.93353,0.79632,0.65669,0.97778,0.94201,0.00102301,0.00102301,0.00102301
6,2359.98,0.8212,0.69034,1.00121,0.91138,0.93063,0.95895,0.8235,0.61551,0.68101,0.93189,0.00100101,0.00100101,0.00100101
7,2748.74,0.84383,0.6825,1.01416,0.95481,0.97014,0.98033,0.84874,0.59625,0.57342,0.91694,0.000979013,0.000979013,0.000979013
8,3143.85,0.78999,0.65065,0.98647,0.92536,0.95717,0.97408,0.84692,0.58321,0.57158,0.90638,0.000957015,0.000957015,0.000957015
9,3528.83,0.77704,0.64242,0.98189,0.93226,0.96363,0.98055,0.84625,0.61058,0.57503,0.91277,0.000935018,0.000935018,0.000935018
10,3923.18,0.8263,0.64656,1.00411,0.94994,0.96473,0.98037,0.80792,0.70441,0.56089,0.95401,0.00091302,0.00091302,0.00091302
11,4322.84,0.82433,0.62232,1.00359,0.94749,0.96837,0.98198,0.85652,0.59102,0.5362,0.91079,0.000891022,0.000891022,0.000891022
12,4730.23,0.76436,0.59095,0.98005,0.95964,0.9506,0.98183,0.84609,0.59945,0.5128,0.91554,0.000869024,0.000869024,0.000869024
13,5121.49,0.74087,0.57253,0.96903,0.95873,0.96398,0.98455,0.86438,0.56527,0.46557,0.8998,0.000847026,0.000847026,0.000847026
14,5510.9,0.74658,0.56859,0.97179,0.95123,0.96052,0.98091,0.85306,0.58647,0.48493,0.90679,0.000825029,0.000825029,0.000825029
15,5899.7,0.73904,0.55784,0.97459,0.93233,0.95011,0.97677,0.84803,0.5952,0.50808,0.89955,0.000803031,0.000803031,0.000803031
16,6283.92,0.73259,0.54181,0.96258,0.95585,0.96223,0.98095,0.85381,0.59221,0.45119,0.9116,0.000781033,0.000781033,0.000781033
17,6677.93,0.72657,0.53572,0.9637,0.95125,0.96297,0.97954,0.8433,0.60573,0.48717,0.91079,0.000759035,0.000759035,0.000759035
18,7068.66,0.73299,0.54643,0.97172,0.96392,0.96663,0.98432,0.85121,0.60709,0.44862,0.90963,0.000737037,0.000737037,0.000737037
19,7460.35,0.74158,0.53212,0.97185,0.89169,0.9232,0.95707,0.83121,0.59224,0.55979,0.90654,0.00071504,0.00071504,0.00071504
20,7852.04,0.81597,0.53492,1.00161,0.96622,0.95361,0.98232,0.83566,0.63992,0.47975,0.93017,0.000693042,0.000693042,0.000693042
21,8251.83,0.77381,0.52392,0.99531,0.94924,0.96073,0.98176,0.85256,0.57171,0.44239,0.89935,0.000671044,0.000671044,0.000671044
22,8658.36,0.72248,0.49767,0.96298,0.95197,0.96592,0.98346,0.87076,0.53719,0.41834,0.88559,0.000649046,0.000649046,0.000649046
23,9053.14,0.69503,0.49265,0.95793,0.96498,0.96253,0.98409,0.85591,0.57816,0.42162,0.90039,0.000627048,0.000627048,0.000627048
24,9442.13,0.73492,0.49729,0.96434,0.94875,0.96828,0.98012,0.84239,0.62795,0.47497,0.91631,0.000605051,0.000605051,0.000605051
25,9825.55,0.72104,0.48703,0.96571,0.94809,0.96798,0.98267,0.8551,0.59012,0.41532,0.89786,0.000583053,0.000583053,0.000583053
26,10219.7,0.6925,0.47093,0.95084,0.95964,0.96799,0.98391,0.86874,0.55446,0.38932,0.88811,0.000561055,0.000561055,0.000561055
27,10602.2,0.68143,0.47503,0.95148,0.9606,0.96849,0.98072,0.85822,0.5673,0.41287,0.89295,0.000539057,0.000539057,0.000539057
28,10998.6,0.68289,0.46346,0.94856,0.94523,0.94987,0.97621,0.85298,0.56705,0.43185,0.89639,0.000517059,0.000517059,0.000517059
29,11405.6,0.69165,0.47279,0.96142,0.94086,0.96493,0.97978,0.84315,0.61195,0.41693,0.91259,0.000495062,0.000495062,0.000495062
30,11804,0.68552,0.4645,0.9501,0.93643,0.97291,0.97794,0.86551,0.53516,0.38758,0.88218,0.000473064,0.000473064,0.000473064
31,12200.1,0.66807,0.44864,0.94237,0.9635,0.97312,0.98303,0.8679,0.55254,0.3811,0.88419,0.000451066,0.000451066,0.000451066
32,12594.7,0.6671,0.44765,0.94182,0.93239,0.97143,0.97726,0.86537,0.53595,0.40579,0.88043,0.000429068,0.000429068,0.000429068
33,12990.6,0.66891,0.44712,0.94249,0.9581,0.96622,0.98216,0.86711,0.54511,0.37636,0.88496,0.00040707,0.00040707,0.00040707
34,13377.1,0.68215,0.44698,0.95206,0.94207,0.95561,0.98106,0.86302,0.56326,0.40859,0.89094,0.000385073,0.000385073,0.000385073
35,13759.1,0.65595,0.43289,0.9427,0.96067,0.97827,0.983,0.87327,0.53162,0.35862,0.88066,0.000363075,0.000363075,0.000363075
36,14142.4,0.65525,0.43522,0.94278,0.94822,0.974,0.98144,0.87083,0.5392,0.36668,0.88588,0.000341077,0.000341077,0.000341077
37,14532,0.66277,0.43516,0.95068,0.9532,0.96255,0.97891,0.86753,0.53656,0.38468,0.88126,0.000319079,0.000319079,0.000319079
38,14917.7,0.6437,0.42901,0.93666,0.967,0.96835,0.98043,0.86723,0.53458,0.36428,0.88024,0.000297081,0.000297081,0.000297081
39,15318.6,0.65015,0.42423,0.94004,0.95645,0.9735,0.98168,0.87109,0.53105,0.37087,0.88033,0.000275084,0.000275084,0.000275084
40,15705.7,0.65302,0.41908,0.9372,0.9536,0.96922,0.9809,0.87156,0.53365,0.36465,0.87859,0.000253086,0.000253086,0.000253086
41,16082.6,0.68607,0.42822,0.97305,0.93248,0.96376,0.97242,0.85433,0.55847,0.40377,0.88918,0.000231088,0.000231088,0.000231088
42,16453.1,0.66487,0.40249,0.96257,0.95801,0.96938,0.98063,0.86701,0.54185,0.36003,0.88444,0.00020909,0.00020909,0.00020909
43,16817.9,0.67596,0.41385,0.97333,0.95646,0.95674,0.9788,0.87,0.53789,0.36904,0.88327,0.000187092,0.000187092,0.000187092
44,17180.7,0.64207,0.39112,0.94431,0.93941,0.95223,0.97245,0.85786,0.54745,0.40136,0.8853,0.000165095,0.000165095,0.000165095
45,17543.6,0.64414,0.38428,0.9527,0.9555,0.97048,0.97995,0.86584,0.54453,0.35632,0.88512,0.000143097,0.000143097,0.000143097
46,17927,0.65153,0.38536,0.95658,0.95262,0.95893,0.98233,0.87441,0.52754,0.35392,0.88175,0.000121099,0.000121099,0.000121099
47,18308.1,0.62566,0.3754,0.94891,0.92752,0.9692,0.97593,0.86051,0.55731,0.38753,0.88997,9.91012e-05,9.91012e-05,9.91012e-05
48,18696.6,0.61456,0.36491,0.93386,0.96089,0.97104,0.98251,0.87183,0.53179,0.34249,0.88092,7.71034e-05,7.71034e-05,7.71034e-05
49,19064.4,0.62718,0.36622,0.95462,0.94397,0.96726,0.98118,0.87183,0.52995,0.35985,0.8804,5.51056e-05,5.51056e-05,5.51056e-05
50,19428.9,0.611,0.36267,0.93672,0.95289,0.97193,0.98049,0.86702,0.53438,0.3453,0.88234,3.31078e-05,3.31078e-05,3.31078e-05
